Row Names,instance_auroc,full_pixel_auroc
mvtec_screw,0.9797089567534332,0.9916936558146658
mvtec_pill,0.9879978177850518,0.9840013208511385
mvtec_capsule,0.9780614280015956,0.9886982204413326
mvtec_carpet,0.995585874799358,0.9772560488920328
mvtec_grid,0.9991645781119465,0.988521241671129
mvtec_tile,0.9981962481962482,0.9548230086886808
mvtec_wood,1.0,0.9368715953771395
mvtec_zipper,0.9992121848739496,0.9842899669225919
mvtec_cable,0.9992503748125937,0.9742286005845803
mvtec_toothbrush,1.0,0.9845458956800769
mvtec_transistor,1.0,0.967055985106349
mvtec_metal_nut,1.0,0.9847316041039909
mvtec_bottle,1.0,0.9796649053932249
mvtec_hazelnut,0.9971428571428571,0.9691777693305855
mvtec_leather,1.0,0.9917178562701671
Mean,0.9956213546984689,0.9771518450085123
