Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_screw,0.9797089567534332,0.9916936558755133,0.9659698324128949
mvtec_pill,0.9879978177850518,0.9840013208800891,0.9427991524372413
mvtec_capsule,0.9780614280015956,0.9886982204285568,0.9269736263987037
mvtec_carpet,0.995585874799358,0.9772560488879236,0.880486207584409
mvtec_grid,0.9991645781119465,0.988521241594996,0.9580115020809807
mvtec_tile,0.9981962481962482,0.9548230086607533,0.9007699447638583
mvtec_wood,1.0,0.9368715953161423,0.8368742335829956
mvtec_zipper,0.9992121848739496,0.9842899669210761,0.9496161927395914
mvtec_cable,0.9992503748125937,0.9742286006292091,0.9099700605977862
mvtec_toothbrush,1.0,0.984545895861287,0.9326963851800107
mvtec_transistor,1.0,0.9670559850282503,0.936044050223741
mvtec_metal_nut,1.0,0.9847316041197542,0.8698400694979439
mvtec_bottle,1.0,0.979664905366703,0.9069529554244395
mvtec_hazelnut,0.9971428571428571,0.9691777693416398,0.8354182990967152
mvtec_leather,1.0,0.991717856268153,0.9689997277510545
Mean,0.9956213546984689,0.977151845012003,0.914761482651491
